test,device,signal,value,timestamp,delta
1,,,,,
,raspberry-pi,gpio17,0,2026-04-16T09:45:33.917Z,11545
,raspberry-pi,gpio17,1,2026-04-16T09:45:41.425Z,7540
,raspberry-pi,gpio6,1,2026-04-16T09:45:46.225Z,18110
,raspberry-pi,gpio6,0,2026-04-16T09:45:46.761Z,10
,raspberry-pi,gpio26,1,2026-04-16T09:45:47.173Z,18348
,raspberry-pi,gpio6,1,2026-04-16T09:45:47.201Z,967
,raspberry-pi,gpio6,0,2026-04-16T09:45:47.390Z,7
,raspberry-pi,gpio5,1,2026-04-16T09:45:47.397Z,18564
,raspberry-pi,gpio5,0,2026-04-16T09:45:47.427Z,8
,raspberry-pi,gpio26,0,2026-04-16T09:45:47.724Z,259
,raspberry-pi,gpio26,1,2026-04-16T09:45:47.835Z,404
,raspberry-pi,gpio26,0,2026-04-16T09:45:47.922Z,8
,raspberry-pi,gpio5,1,2026-04-16T09:45:47.930Z,523
,raspberry-pi,gpio5,0,2026-04-16T09:45:47.987Z,10
,raspberry-pi,gpio17,0,2026-04-16T09:45:53.068Z,11574
,raspberry-pi,gpio17,1,2026-04-16T09:46:00.545Z,7546
,raspberry-pi,gpio6,1,2026-04-16T09:46:01.311Z,13348
,raspberry-pi,gpio26,1,2026-04-16T09:46:01.325Z,13482
,raspberry-pi,gpio22,0,2026-04-16T09:46:02.111Z,300121
,raspberry-pi,gpio25,1,2026-04-16T09:46:02.118Z,300120
,raspberry-pi,gpio17,0,2026-04-16T09:46:05.499Z,4917
,raspberry-pi,gpio6,0,2026-04-16T09:46:07.954Z,6954
,raspberry-pi,gpio6,1,2026-04-16T09:46:08.091Z,452
,raspberry-pi,gpio26,0,2026-04-16T09:46:08.097Z,6637
,raspberry-pi,gpio26,1,2026-04-16T09:46:09.683Z,1720
,raspberry-pi,gpio6,0,2026-04-16T09:46:09.734Z,1731
,raspberry-pi,gpio6,1,2026-04-16T09:46:09.795Z,46
,raspberry-pi,gpio26,0,2026-04-16T09:46:09.801Z,118
,raspberry-pi,gpio6,0,2026-04-16T09:46:09.806Z,67
,raspberry-pi,gpio17,1,2026-04-16T09:46:15.349Z,9887
,raspberry-pi,gpio6,1,2026-04-16T09:46:17.977Z,7557
,raspberry-pi,gpio6,0,2026-04-16T09:46:18.197Z,625
,raspberry-pi,gpio6,1,2026-04-16T09:46:18.214Z,214
,raspberry-pi,gpio6,0,2026-04-16T09:46:18.247Z,18
,raspberry-pi,gpio6,1,2026-04-16T09:46:18.396Z,31
,raspberry-pi,gpio6,0,2026-04-16T09:46:18.526Z,152
,raspberry-pi,gpio26,1,2026-04-16T09:46:18.961Z,9161
,raspberry-pi,gpio6,1,2026-04-16T09:46:18.983Z,568
,raspberry-pi,gpio6,0,2026-04-16T09:46:19.158Z,21
,raspberry-pi,gpio5,1,2026-04-16T09:46:19.181Z,31244
,raspberry-pi,gpio5,0,2026-04-16T09:46:19.375Z,7
,raspberry-pi,gpio26,0,2026-04-16T09:46:19.598Z,418
,raspberry-pi,gpio26,1,2026-04-16T09:46:19.608Z,228
,raspberry-pi,gpio5,1,2026-04-16T09:46:19.666Z,478
,raspberry-pi,gpio26,0,2026-04-16T09:46:19.742Z,67
,raspberry-pi,gpio5,0,2026-04-16T09:46:19.753Z,81
,raspberry-pi,gpio17,0,2026-04-16T09:46:24.975Z,9616
,raspberry-pi,gpio17,1,2026-04-16T09:46:32.352Z,7386
,raspberry-pi,gpio26,1,2026-04-16T09:46:36.114Z,16439
,raspberry-pi,gpio6,1,2026-04-16T09:46:37.058Z,17135
,raspberry-pi,gpio6,0,2026-04-16T09:46:37.285Z,938
,raspberry-pi,gpio6,1,2026-04-16T09:46:37.294Z,229
,raspberry-pi,gpio6,0,2026-04-16T09:46:37.299Z,5
,raspberry-pi,gpio6,1,2026-04-16T09:46:37.319Z,5
,raspberry-pi,gpio6,0,2026-04-16T09:46:37.344Z,21
,raspberry-pi,gpio6,1,2026-04-16T09:46:37.356Z,23
,raspberry-pi,gpio6,0,2026-04-16T09:46:37.361Z,13
,raspberry-pi,gpio6,1,2026-04-16T09:46:37.380Z,19
,raspberry-pi,gpio6,0,2026-04-16T09:46:37.391Z,7
,raspberry-pi,gpio6,1,2026-04-16T09:46:37.412Z,8
,raspberry-pi,gpio6,0,2026-04-16T09:46:37.419Z,23
,raspberry-pi,gpio6,1,2026-04-16T09:46:37.429Z,11
,raspberry-pi,gpio6,0,2026-04-16T09:46:37.451Z,7
,raspberry-pi,gpio6,1,2026-04-16T09:46:37.510Z,19
,raspberry-pi,gpio6,0,2026-04-16T09:46:37.518Z,63
,raspberry-pi,gpio6,1,2026-04-16T09:46:37.537Z,4
,raspberry-pi,gpio6,0,2026-04-16T09:46:37.568Z,20
,raspberry-pi,gpio6,1,2026-04-16T09:46:37.581Z,31
,raspberry-pi,gpio6,0,2026-04-16T09:46:37.611Z,14
,raspberry-pi,gpio6,1,2026-04-16T09:46:38.084Z,28
,raspberry-pi,gpio5,1,2026-04-16T09:46:38.249Z,18344
,raspberry-pi,gpio6,0,2026-04-16T09:46:38.255Z,639
,raspberry-pi,gpio5,0,2026-04-16T09:46:38.444Z,171
,raspberry-pi,gpio5,1,2026-04-16T09:46:38.788Z,189
,raspberry-pi,gpio5,0,2026-04-16T09:46:38.844Z,346
,raspberry-pi,gpio26,0,2026-04-16T09:46:38.849Z,2736
,raspberry-pi,gpio17,0,2026-04-16T09:46:44.118Z,11758
,raspberry-pi,gpio17,1,2026-04-16T09:46:51.399Z,7290
,raspberry-pi,gpio26,1,2026-04-16T09:46:54.366Z,14563
,raspberry-pi,gpio6,1,2026-04-16T09:46:56.157Z,17126
,raspberry-pi,gpio6,0,2026-04-16T09:46:56.391Z,787
,raspberry-pi,gpio6,1,2026-04-16T09:46:56.434Z,266
,raspberry-pi,gpio6,0,2026-04-16T09:46:56.439Z,6
,raspberry-pi,gpio6,1,2026-04-16T09:46:56.462Z,23
,raspberry-pi,gpio6,0,2026-04-16T09:46:56.466Z,4
,raspberry-pi,gpio6,1,2026-04-16T09:46:56.504Z,38
,raspberry-pi,gpio6,0,2026-04-16T09:46:56.508Z,4
,raspberry-pi,gpio6,1,2026-04-16T09:46:56.546Z,6
,raspberry-pi,gpio6,0,2026-04-16T09:46:56.655Z,38
,raspberry-pi,gpio6,1,2026-04-16T09:46:56.675Z,108
,raspberry-pi,gpio6,0,2026-04-16T09:46:56.704Z,22
,raspberry-pi,gpio6,1,2026-04-16T09:46:57.187Z,27
,raspberry-pi,gpio6,0,2026-04-16T09:46:57.343Z,487
,raspberry-pi,gpio5,1,2026-04-16T09:46:57.892Z,19095
,raspberry-pi,gpio5,0,2026-04-16T09:46:57.949Z,9
,raspberry-pi,gpio26,0,2026-04-16T09:46:57.965Z,4542
,raspberry-pi,gpio17,0,2026-04-16T09:47:03.159Z,11730
,raspberry-pi,gpio17,1,2026-04-16T09:47:10.493Z,7364
,raspberry-pi,gpio26,1,2026-04-16T09:47:13.331Z,15377
,raspberry-pi,gpio6,1,2026-04-16T09:47:15.251Z,18054
,raspberry-pi,gpio6,0,2026-04-16T09:47:15.495Z,9
